"Sensor Name","Sensor Description","Solution KM Note","Solution for the issue","Issue Summary","Issue Description","Issue Severity","Product to raise SR if help needed","Sr Component","Sr Sub Component","Business Flow","Business Impact","Prod Family","Prod Area"
"JDEFIN_F097031W_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F097031W","2830503.1","Go to P00022, query for table F097031W, then change the Unique Key ID to a value that is greater than the greatest UKID value identified in F097031W then Save the change. See document E1: FIN: Overview and Frequently Asked Questions of Unique Next Numbers (P00022) in JD Edwards EnterpriseOne Financial Management (Doc ID 2830503.1).","Corrupt or non-existent Unique Next Number in F097031W","Corrupt or non-existent Unique Next Number triggers error when adding, revising or deleting records in F097031W","3","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the Account Balance to Account Master Work Table (F097031W) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_F097041W_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F097041W","2830503.1","Go to P00022, query for table F097041W, then change the Unique Key ID to a value that is greater than the greatest UKID value identified in F097041W then Save the change. See document E1: FIN: Overview and Frequently Asked Questions of Unique Next Numbers (P00022) in JD Edwards EnterpriseOne Financial Management (Doc ID 2830503.1).","Corrupt or non-existent Unique Next Number in F097041W","Corrupt or non-existent Unique Next Number triggers error when adding, revising or deleting records in F097041W","3","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the Accounts to Business Units Work Table (F097041W) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_F09J12_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F09J12","2830503.1","Go to P00022, query for table F09J12, then change the Unique Key ID to a value that is greater than the greatest UKID value identified in F09J12 then Save the change. See document E1: FIN: Overview and Frequently Asked Questions of Unique Next Numbers (P00022) in JD Edwards EnterpriseOne Financial Management (Doc ID 2830503.1).","Corrupt or non-existent Unique Next Number in F09J12","There are corrupted Unique Next Number in Joint Venture Distribution Detail table (F09J12)","4","JD Edwards EnterpriseOne General Ledger","JVM",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the Joint Venture Distribution Detail table (F09J12) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R007011_01","JDE Financial sensor: Unposted Batches (R007011) integrity report has not been run","1395406.1","The Unposted Batches (R007011) integrity report should be run regularly to: - ensure that all batches are posted in a timely manner - any batches that failed to post are identified and researched in a timely manner. For more details on how to run please see E1: 09: Overview of Unposted Batches Integrity Report In EnterpriseOne (R007011) (Doc ID 1395406.1).","Unposted Batches (R007011) integrity report hasn't been run","Unposted Batches (R007011) integrity report hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Unposted Batches (R007011) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R007021_01","JDE Financial sensor: Integrity Check of Transactions to Batch Headers","664745.1","The Transactions to Batch Headers (R007021) integrity report should be run regularly to identify and correct: - transactions with missing Batch Header (F0011) information - transaction Post Code versus Batch Header Post Code discrepancies For more details on how to run the report and correct such issues please see E1: 09: Overview of Transactions to Batch Headers Integrity Report In EnterpriseOne (R007021) (Doc ID 664745.1)","Integrity Check of Transactions to Batch Headers","Transactions to Batch Headers (R007021) integrity report hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Transactions to Batch Headers (R007021) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R007031_01","JDE Financial sensor: Batch to Detail and Out of Balance (R007031) integrity report has not been run","1378537.1","The Batch to Detail and Out of Balance Integrity Report (R007031) report should be run regularly to identify and correct batch level information on integrity issues and it does the following automatically: - deletes empty batch header records from F0011 with no detail records in Accounts Receivables (AR), Accounts Payable (AP), or General Ledger (GL) modules. - updates the batch status of a batch header record in the F0011 table to 'D' (posted) if the detail records in the AR, AP, GL tables are posted, but the header record is unposted. For more details on how to run the report and correct such issues please see E1: 09: Overview of Batch to Detail Integrity Report (R007031) in EnterpriseOne Financial Management (Doc ID 1378537.1).","Batch to Detail & Out of Balance (R007031) integrity report hasn't been run","Batch to Detail & Out of Balance (R007031) integrity report hasn't been run during the last week","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Batch to Detail & Out of Balance (R007031) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R007032_01","JDE Financial sensor: Batches Out of Balance (R007032) integrity report has not been run","1379584.1","The Batches Out of Balance report (R007032) should be run regularly to locate batches in which the net amount of debits and credits for F0911 transactions does not equal zero. For more details on how to run the report and correct such issues please see E1: 09: Overview of Batches Out of Balance Report (R007032) in 8.9 and above (Doc ID 1379584.1).","Batches Out of Balance (R007032) integrity report hasn't been run","Batches Out of Balance (R007032) integrity report hasn't been run during the last week.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that the Batches Out of Balance (R007032) integrity report has been run on a regular basis to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_R03B16A_01","JDE Financial sensor: R03B16A takes long time to run","625834.1","As part of customer analysis activities, you can update statistical information about your customer accounts by running the Statistics History Update program R03B16A. This enables you to review the activity of a customer's account for a specific period, which is helpful for trend analysis and cash forecasting. Running this batch process is time consuming and it is recommended that you run this process during off-peak hours. If the time to run this process becomes excessive, there are steps you can take to possibly decrease processing time. For more details on how to run the report and correct issues please see E1: 03B: How To Process and Purge Statistical History Refresh Data (R03B16, R03B16A, R03B163) (Doc ID 625834.1)","R03B16A takes long time to run","R03B16A takes long time to run","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the Statistical History Build (R03B16A) does not exceed the specified threshold runtime which could indicate that there is an underlying problem that impacts performance.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R03B50_01","JDE Financial sensor: R03B50 takes long time to run","1458442.1","Immediate recognition of cash in the general ledger is an essential part of the accounts receivable process. To ensure early cash recognition, you can process receipts automatically to quickly apply payments from customers to their invoices. The Apply Receipts to Invoices (R03B50) UBE is part of this process. If the time to run this process becomes excessive, there are steps you can take to possibly decrease processing time. For more details on how to run the report and correct issues please see E1: 03B: How To Process Automatic Cash Receipts (a.k.a. Auto Receipts or Auto Cash) and Troubleshooting Tips (Doc ID 1458442.1)","R03B50 takes long time to run","R03B50 takes long time to run","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the Apply Receipts to Invoices (R03B50) does not exceed the specified threshold runtime which could indicate that there is an underlying problem that impacts performance.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_R03B525_01","JDE Financial sensor: R03B525 takes long time to run","1495853.1","To effectively analyze and manage account activity for a customer, you must first update the customer?s account information. To do so, run the Credit Analysis Refresh program (R03B525) at the beginning or end of each business day. This ensures that the information that the system displays for the customer?s account is current and helpful when you analyze the customer?s account for credit and collection purposes. If the time to run this process becomes excessive, there are steps you can take to possibly decrease processing time. For more details on how to run the report and correct issues please see : How To Set Up and Run Credit Analysis Refresh In EnterpriseOne (R03B525) (Doc ID 1495853.1)","R03B525 takes long time to run","R03B525 takes long time to run","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the Credit Analysis Refresh (R03B525) does not exceed the specified threshold runtime which could indicate that there is an underlying problem that impacts performance.","JDE E1 Financials","JDE E1 Accounts Receivable"
